,Species_Code,Common_Name,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxanomic_source,taxanomic_id,species_definition
67,SHP,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Semicossyphus,Semicossyphus pulcher,www.marinespecies.org,282753,Semicossyphus pulcher
68,SHS,Scalyhead Sculpin,Artedius harringtoni,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,www.marinespecies.org,279701,Artedius harringtoni
69,SLV,Silver Salmon,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,www.marinespecies.org,127184,Oncorhynchus kisutch
70,SMT,Silversides (Family Atherinopsidae),Atherinopsidae,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,,,www.marinespecies.org,266995,Silversides only identified up to family - Atherinopsidae
71,SPF,Soupfin Shark,Galeorhinus galeus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Galeorhinus galeus,www.marinespecies.org,105820,Galeorhinus galeus
72,SQR,Squarespot Rockfish,Sebastes hopkinsi,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes hopkinsi,www.marinespecies.org,274800,Sebastes hopkinsi
73,SRC,Sarcastic Fringehead,Neoclinus blanchardi,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,Neoclinus blanchardi,www.marinespecies.org,281679,Neoclinus blanchardi
74,SRD,Pacific Sardine,Sardinops sagax,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax,www.marinespecies.org,217452,Sardinops sagax
75,SRG,Sargo,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Anisotremus,Anisotremus davidsonii,www.marinespecies.org,279617,Anisotremus davidsonii
76,SRP,Sharpnose Surfperch,Phanerodon atripes,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Phanerodon,Phanerodon atripes,www.marinespecies.org,279409,Phanerodon atripes
77,SRY,Starry Rockfish,Sebastes constellatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes constellatus,www.marinespecies.org,274783,Sebastes constellatus
78,SSD,Speckled Sanddab,Citharichthys stigmaeus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,www.marinespecies.org,275696,Citharichthys stigmaeus
79,SSL,Sand Sole,Psettichthys melanostictus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,www.marinespecies.org,282396,Psettichthys melanostictus
80,SSP,Striped Seaperch,Embiotoca lateralis,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,www.marinespecies.org,240740,Embiotoca lateralis
81,STS,Starry Skate,Beringraja stellulata,Animalia,Chordata,Actinopterygii,Rajiformes,Rajidae,Beringraja,Beringraja stellulata,www.marinespecies.org,1461135,Beringraja stellulata
82,SUN,Ocean Sunfish,Mola mola,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,www.marinespecies.org,127405,Mola mola
83,THR,Common Thresher Shark,Alopias vulpinus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Alopias vulpinus,www.marinespecies.org,105836,Alopias vulpinus
84,TIG,Tiger Rockfish,Sebastes nigrocinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes nigrocinctus,www.marinespecies.org,274825,Sebastes nigrocinctus
